year_month,IPEC
2022-01,300.8849287038111
2022-02,269.277057819676
2022-03,185.8553847205074
2022-04,262.31026256252534
2022-05,279.40461067615973
2022-06,255.4761681674157
2022-07,210.230235996906
2022-08,335.0419609657015
2022-09,202.0215402920264
2022-10,426.3045487665783
2022-11,288.4541891044758
2022-12,237.41013955306298
2023-01,256.61033702447645
2023-02,198.91490753246975
2023-03,324.5600717581468
2023-04,273.6946527194422
2023-05,274.60581622317375
2023-06,273.2448135947009
2023-07,393.1831702288757
2023-08,286.96856412796984
2023-09,238.3098497037673
2023-10,253.64811822633695
2023-11,219.27531794004216
2023-12,253.64811822633695
2024-01,280.9285521578512
2024-02,218.62807560099643
2024-03,321.350170727107
2024-04,335.79044549874465
2024-05,234.29594281809176
2024-06,335.79044549874465
2024-07,166.63294103098985
2024-08,319.48610771872006
2024-09,285.51873734366893
2024-10,234.29594281809176
2024-11,234.56768178109218
2024-12,217.3801923713163
