year_month,IPEC
2022-01,296.88087149572704
2022-02,224.48816610936404
2022-03,152.7792425984391
2022-04,193.49142746611523
2022-05,235.1443723422367
2022-06,249.31422575702805
2022-07,201.60849625885922
2022-08,278.52951360877313
2022-09,221.25085892112452
2022-10,426.1199196431303
2022-11,384.6417176904114
2022-12,239.93438534845308
2023-01,200.0992309085722
2023-02,284.43075782308716
2023-03,309.77487716688205
2023-04,337.73326695069807
2023-05,261.6098219399504
2023-06,334.5747736191452
2023-07,290.863668849188
2023-08,310.25954546515953
2023-09,269.02458310159716
2023-10,291.8020794698675
2023-11,271.6774851760303
2023-12,273.5303906745314
2024-01,227.35778686341808
2024-02,233.24374345131008
2024-03,284.76901705967373
2024-04,292.9571370647066
2024-05,251.94107185569504
2024-06,328.36496375624944
2024-07,162.19826494136464
2024-08,266.95050506258707
2024-09,296.88087149572704
2024-10,250.74834372927435
2024-11,289.31995839386184
2024-12,259.70465794176044
