URL,MobileURL,Date,Title
https://www.pulzo.com/nacion/cambio-climatico-tema-que-preocupa-bastante-colombianos-PP1441198A,https://www.pulzo.com/amp/nacion/cambio-climatico-tema-que-preocupa-bastante-colombianos-PP1441198A,2022-05-20 02:15:00,"Cambio climático , tema que preocupa bastante entre colombianos"
https://www.pulzo.com/deportes/que-dijo-carlos-antonio-velez-sobre-colombia-elogios-diaz-borre-no-james-PP1400503,https://www.pulzo.com/amp/deportes/que-dijo-carlos-antonio-velez-sobre-colombia-elogios-diaz-borre-no-james-PP1400503,2022-05-06 16:30:00,"Qué dijo Carlos Antonio Vélez sobre Colombia ; elogios a Díaz y Borré , no a James"
https://www.pulzo.com/vivir-bien/joven-recoge-firmas-peticion-que-presidente-priorice-sistema-salud-PP1393048A,https://www.pulzo.com/amp/vivir-bien/joven-recoge-firmas-peticion-que-presidente-priorice-sistema-salud-PP1393048A,2022-05-04 22:30:00,Joven recoge firmas en petición para que presidente priorice sistema de salud
https://www.pulzo.com/deportes/luis-diaz-liverpool-foto-final-fa-cup-chelsea-es-protagonista-PP1417806,https://www.pulzo.com/amp/deportes/luis-diaz-liverpool-foto-final-fa-cup-chelsea-es-protagonista-PP1417806,2022-05-12 19:00:00,Luis Díaz en Liverpool : en foto de final de FA Cup ante Chelsea es protagonista
https://www.pulzo.com/elecciones-2022/alexander-vega-dijo-que-informacion-preconteo-votos-tendra-demoras-PP1473431,https://www.pulzo.com/amp/elecciones-2022/alexander-vega-dijo-que-informacion-preconteo-votos-tendra-demoras-PP1473431,2022-05-29 15:15:00,Alexander Vega dijo que información del preconteo de los votos tendrá demoras
https://www.pulzo.com/economia/mercado-libre-lanza-ofertas-empleo-colombia-como-postularse-PP1393692,https://www.pulzo.com/amp/economia/mercado-libre-lanza-ofertas-empleo-colombia-como-postularse-PP1393692,2022-05-04 21:00:00,Mercado Libre lanza ofertas de empleo en Colombia ; cómo postularse
https://www.pulzo.com/nacion/beneficios-emprendedores-valledupar-PP1388609A,https://www.pulzo.com/amp/nacion/beneficios-emprendedores-valledupar-PP1388609A,2022-05-03 19:00:00,Beneficios para emprendedores en Valledupar
https://www.pulzo.com/economia/empresarios-europeos-interesados-eje-cafetero-PP1422564A,https://www.pulzo.com/amp/economia/empresarios-europeos-interesados-eje-cafetero-PP1422564A,2022-05-14 01:45:00,Empresarios europeos interesados en el Eje Cafetero
https://www.pulzo.com/deportes/farid-diaz-hablo-futuro-seleccion-colombia-PP1434329A,https://www.pulzo.com/amp/deportes/farid-diaz-hablo-futuro-seleccion-colombia-PP1434329A,2022-05-18 14:15:00,Farid Díaz habló del futuro de la Selección Colombia
https://www.pulzo.com/elecciones-2022/elecciones-presidenciales-rodolfo-hernandez-recibe-apoyo-enrique-gomez-PP1475711,https://www.pulzo.com/amp/elecciones-2022/elecciones-presidenciales-rodolfo-hernandez-recibe-apoyo-enrique-gomez-PP1475711,2022-05-30 02:15:00,Elecciones presidenciales : Rodolfo Hernández recibe apoyo de Enrique Gómez
